1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
346566,342725,323629,328104,361816,323701,323754,377392,332524,350227,323084,326163,323141,338030,325620
687406,697152,670642,655486,688117,654492,651529,698984,656218,690012,650274,654416,632929,685246,645439
999097,1022802,999801,979001,1012544,977636,974596,1023142,975893,1010752,977340,989381,951688,1006594,969028
1284697,1340562,1361024,1282491,1306860,1304912,1270297,1329368,1279142,1306882,1290442,1315834,1261132,1316650,1279711
1571120,1638272,1670548,1611841,1633123,1593785,1592958,1681392,1561174,1618824,1601812,1651778,1576642,1614654,1571992
1863896,1927126,1947291,1925786,1904561,1915736,1880120,1979118,1890734,1909686,1912514,1961302,1880146,1915841,1878993
2193812,2229575,2267436,2246484,2257458,2245452,2167421,2299464,2220671,2225745,2254970,2307079,2172514,2239782,2248330
2516496,2515149,2593606,2567814,2540756,2552443,2457414,2604406,2520277,2538783,2575788,2618138,2477000,2550150,2560788
2855481,2793897,2885064,2896230,2804912,2860782,2811872,2935022,2845607,2869940,2877603,2903784,2794969,2871246,2873173
3178194,3081459,3187696,3215948,3115502,3182326,3105394,3263738,3161934,3185615,3153768,3226776,3126530,3178176,3208725
3486201,3395607,3516475,3563032,3475031,3501936,3445219,3575354,3533252,3525204,3441698,3562778,3433502,3484626,3563566
3810801,3718140,3848976,3884849,3794116,3797018,3762620,3915459,3844852,3851708,3745579,3858710,3758448,3820580,3883910
4171976,4027890,4137044,4185688,4105826,4106170,4068404,4217829,4137720,4166327,4047050,4171376,4130052,4172232,4180528
4467628,4352928,4445606,4482313,4405636,4451106,4390913,4519290,4445422,4487381,4352893,4493219,4420556,4455843,4485472
4759871,4664137,4738420,4821180,4741960,4744041,4691880,4808916,4743092,4781222,4651603,4814283,4692337,4733382,4791590
5060397,4970878,5085163,5155992,5053214,5033890,5004383,5135127,5054140,5086951,4949076,5178311,5008620,5078482,5122316
5362636,5310492,5388182,5470236,5380940,5336759,5294286,5457764,5388330,5398720,5248578,5508994,5305374,5406992,5445734
5694644,5653222,5688808,5776628,5715648,5662025,5596916,5794908,5754540,5709316,5551229,5818554,5596783,5801744,5732454
6001507,6022188,6004268,6084087,6038730,5947642,5916804,6106742,6044276,6011772,5888932,6124074,5910632,6095322,6022412
6340782,6388165,6338750,6405192,6345872,6259167,6234922,6456242,6366102,6291732,6256448,6423144,6213532,6415917,6401872
